build_up_area,avg._price,floor,age_of_property,furnishing,bhk,address,project_name,price,bathrooms,balcony,link,facing_east_facing,facing_north_facing,facing_north_east_facing,facing_north_west_facing,facing_south_facing,facing_south_east_facing,facing_south_west_facing,facing_west_facing,new_carpet,open_parking,covered_parking,possession_status,sector,coordinates,latitude,longitude
1075,8280.0,3,0,0,2,"signature global city 81 phase 2, sector 81, gurgaon",Signature Global City 81 Phase 2,8900000.0,2.0,2,"https://housing.com//in/buy/resale/page/12017115-2-bhk-apartment-in-sector-81-for-rs-8900000
",1,0,0,0,0,0,0,0,832.7529884212476,0,2,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1360,6580.0,7,6,1,2,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,8950000.0,2.0,2,"https://housing.com//in/buy/resale/page/11923995-2-bhk-apartment-in-sector-81-for-rs-8950000
",1,0,0,0,0,0,0,0,1042.9775782827526,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1360,6610.0,7,5,1,2,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,8990000.0,2.0,2,"https://housing.com//in/buy/resale/page/11748013-2-bhk-apartment-in-sector-81-for-rs-9450000
",1,0,0,0,0,0,0,0,1042.9775782827526,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1670,5390.0,3,5,1,3,"vipul lavanya apartments tower 2 and 3, sector 81, gurgaon",Vipul Lavanya Apartments Tower 2 And 3,9000000.0,3.0,3,"https://housing.com//in/buy/resale/page/11653267-3-bhk-apartment-in-sector-81-for-rs-9000000
",0,0,1,0,0,0,0,0,1315.0258634877162,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1360,6620.0,7,6,1,2,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,9000000.0,2.0,2,"https://housing.com//in/buy/resale/page/11975129-2-bhk-apartment-in-sector-81-for-rs-9000000
",0,0,1,0,0,0,0,0,900.0,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1270,7090.0,3,0,1,2,"signature global synera, sector 81, gurgaon",Signature Global Synera,9000000.0,2.0,2,"https://housing.com//in/buy/resale/page/12543765-2-bhk-apartment-in-sector-81-for-rs-9000000
",0,0,1,0,0,0,0,0,980.0,0,1,2,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1430,6290.0,3,5,1,2,"bestech park view ananda, sector 81, gurgaon",Bestech Park View Ananda,9000000.0,2.0,2,"https://housing.com//in/buy/resale/page/12190972-2-bhk-apartment-in-sector-81-for-rs-9000000
",0,0,1,0,0,0,0,0,1096.6602477531883,0,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1361,6760.0,2,0,1,3,"signature global synera, sector 81, gurgaon",Signature Global Synera,9200000.0,3.0,3,"https://housing.com//in/buy/resale/page/12543407-3-bhk-apartment-in-sector-81-for-rs-9200000
",0,0,1,0,0,0,0,0,1120.0,0,1,1,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1190,7820.0,1,1,2,3,"signature global city 81, sector 81, gurgaon",Signature Global City 81,9300000.0,3.0,3,"https://housing.com//in/buy/resale/page/12587465-3-bhk-apartment-in-sector-81-for-rs-9300000
",1,0,0,0,0,0,0,0,1180.0,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1419,6910.0,1,0,1,3,"signature global synera, sector 81, gurgaon",Signature Global Synera,9800000.0,3.0,3,"https://housing.com//in/buy/resale/page/12543683-3-bhk-apartment-in-sector-81-for-rs-9800000
",0,0,1,0,0,0,0,0,1160.0,0,1,2,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
