build_up_area,avg._price,floor,age_of_property,furnishing,bhk,link,possession_status,sector,parking,latitude,longitude
300,5.67,5,1,0,1,"https://housing.com//in/buy/resale/page/12574348-1-rk-apartment-in-sector-7-for-rs-1700000
",0,7,1,28.4644,77.0143
585,2.99,2,0,0,1,"https://housing.com//in/buy/resale/page/8942821-1-bhk-apartment-in-sector-35,-sohna-for-rs-1750000
",0,35,0,28.4155,77.0022
340,5.29,2,0,1,1,"https://housing.com//in/buy/resale/page/12069236-1-bhk-apartment-in-sector-5-for-rs-1800000
",0,5,0,28.4794,77.0176
450,4.0,2,0,1,1,"https://housing.com//in/buy/resale/page/12644254-1-bhk-apartment-in-sector-110-for-rs-1800000
",0,110,0,28.5145,77.0197
198,9.09,2,5,2,1,"https://housing.com//in/buy/resale/page/9359744-1-rk-apartment-in-sector-57-for-rs-1800000
",0,57,1,28.4232,77.0752
650,2.77,3,0,2,2,"https://housing.com//in/buy/resale/page/12469105-2-bhk-apartment-in-sector-112-for-rs-1800000
",0,112,0,28.5189,77.0183
550,3.35,1,10,2,1,"https://housing.com//in/buy/resale/page/11230178-1-bhk-apartment-in-sector-105-for-rs-1840500
",0,105,1,28.4952,77.0114
450,4.11,2,4,2,1,"https://housing.com//in/buy/resale/page/12372913-1-bhk-apartment-in-sector-3a-for-rs-1850000
",0,3a,1,28.481,77.0068
250,7.4,1,8,2,1,"https://housing.com//in/buy/resale/page/12049778-1-rk-apartment-in-sector-49-for-rs-1850000
",0,49,1,28.4121,77.048
450,4.11,1,2,0,1,"https://housing.com//in/buy/resale/page/12482284-1-bhk-apartment-in-sector-35,-sohna-for-rs-1850000
",0,35,2,28.4155,77.0022
550,3.45,11,1,1,1,"https://housing.com//in/buy/resale/page/10842060-1-bhk-apartment-in-sector-5-for-rs-1900000
",0,5,2,28.4794,77.0176
240,7.92,2,10,2,1,"https://housing.com//in/buy/resale/page/11430623-1-rk-apartment-in-sector-49-for-rs-1900000
",0,49,2,28.4121,77.048
225,8.44,6,7,2,1,"https://housing.com//in/buy/resale/page/10232840-1-rk-apartment-in-sector-110a-for-rs-1900000
",0,110a,2,28.5178,77.0291
250,7.6,6,8,1,1,"https://housing.com//in/buy/resale/page/11724590-1-rk-apartment-in-sector-49-for-rs-1900000
",0,49,1,28.4121,77.048
350,5.57,1,4,1,1,"https://housing.com//in/buy/resale/page/9568046-1-bhk-apartment-in-sector-107-for-rs-1950000-v2
",0,107,1,28.5052,76.9729
425,4.59,6,0,1,1,"https://housing.com//in/buy/resale/page/8942726-1-bhk-apartment-in-sector-35,-sohna-for-rs-1950000
",0,35,1,28.4155,77.0022
350,5.71,3,2,0,1,"https://housing.com//in/buy/resale/page/6006492-1-bhk-apartment-in-sector-107-for-rs-1999999
",0,107,1,28.5052,76.9729
370,5.41,2,4,2,1,"https://housing.com//in/buy/resale/page/12438158-1-rk-apartment-in-sector-107-for-rs-2000000
",0,107,1,28.5052,76.9729
301,6.64,2,0,0,1,"https://housing.com//in/buy/resale/page/12150814-1-bhk-apartment-in-sector-104-for-rs-2000000
",0,104,0,28.4788,76.996
356,5.62,20,0,0,1,"https://housing.com//in/buy/resale/page/12385772-1-bhk-apartment-in-sector-79-for-rs-2000000
",0,79,0,28.3624,76.9787
412,4.85,2,5,0,1,"https://housing.com//in/buy/resale/page/11468264-1-bhk-apartment-in-sector-33-for-rs-2000000
",0,33,1,28.442,77.0207
